net,length_um
clknet_1_0__leaf__10140_,319.76
_09921_,319.62
net82,319.06
_09391_,318.34
_13668_,317.92
_13402_,317.86
net58,317.675
_13414_,317.65
_10043_,317.27
net92,317
net75,316.84
_12713_,316.48
clknet_5_21__leaf_clk,316.35
net90,316.34
_13451_,316.05
_10696_,315.33
_08919_,315.32
_08526_,315.26
_11039_,315.21
_05371_,315.12
rvcpu.dp.plde.ImmExtE\[0\],314.58
_13463_,314.4
net56,314.3
_08575_,314.25
_11089_,313.99
clknet_5_19__leaf_clk,313.97
_06954_,313.86
_06592_,313.4
net96,312.975
_08703_,312.39
net44,312.11
_09243_,311.64
_10421_,311.42
_09272_,311.06
_12421_,310.87
_13175_,310.48
_12795_,309.78
_12546_,309.68
clknet_5_26__leaf_clk,309.54
_08856_,308.2
net73,307.68
rvcpu.dp.plfd.InstrD\[24\],307.47
_08635_,307.35
_08818_,307.225
_11064_,306.83
net94,306.75
_09402_,306.6
_10392_,306.42
_09716_,306.3
_12179_,306.3
_12279_,306.15
net101,306.14
_09466_,304.56
_12260_,304.34
_09462_,304.2
_09384_,303.9
_10980_,303.69
rvcpu.dp.plde.ImmExtE\[14\],303.4
_13368_,303.35
_12357_,303.31
_13360_,302.07
_13403_,301.99
_13484_,301.6
_09287_,301.49
_10502_,301.48
_09408_,301
_13425_,300.825
_13993_,300.11
_12326_,299.49
_09413_,299.025
_12613_,298.96
_11968_,298.95
_13921_,298.88
_06970_,298.85
net79,298.455
net65,298.32
_11091_,297.84
_09290_,297.71
_08653_,297.41
_10326_,297.16
_12668_,297.13
_09412_,297.11
_08954_,296.7
_08937_,295.63
clknet_5_20__leaf_clk,295.31
_13183_,295.105
_10589_,295.07
_12959_,295.03
_12356_,294.96
_12977_,294.88
rvcpu.dp.plem.ALUResultM\[11\],294.31
_09181_,294.07
_13638_,293.64
_11603_,293.25
_09495_,293
_06641_,292.965
_11980_,292.83
_09094_,292.76
rvcpu.dp.plde.ImmExtE\[12\],292.35
net99,292.28
_11972_,292.14
net71,291.8
rvcpu.dp.plmw.RdW\[3\],291.45
_09389_,291.31
_11839_,290.525
_11432_,290.5
_08561_,289.97
_09404_,289.97
